host_is_superhost,host_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,price,review_scores_rating,reviews_per_month
1,2,Gowanus,Brooklyn,40.68088,-73.99101999999999,Entire rental unit,Entire home/apt,3,1.0,1,190,4.99,1.75
1,1,East Harlem,Manhattan,40.79544,-73.94836,Entire rental unit,Entire home/apt,2,1.0,1,115,4.84,0.5
1,1,Williamsburg,Brooklyn,40.71516,-73.96448000000001,Entire rental unit,Entire home/apt,4,1.0,1,86,4.88,1.04
0,1,Upper West Side,Manhattan,40.78846,-73.97459,Entire rental unit,Entire home/apt,2,1.0,1,199,4.97,0.28
1,2,Nolita,Manhattan,40.72,-73.99486999999999,Entire loft,Entire home/apt,6,1.0,3,595,4.86,1.73
0,2,Upper West Side,Manhattan,40.77845,-73.98295,Entire rental unit,Entire home/apt,2,1.0,1,150,4.83,0.63
0,1,Chinatown,Manhattan,40.7159,-73.99155999999999,Entire condominium (condo),Entire home/apt,2,1.0,1,142,4.83,1.36
1,2,Greenwich Village,Manhattan,40.72997,-74.00196,Entire condominium (condo),Entire home/apt,2,1.0,1,200,4.85,0.8
0,2,Greenpoint,Brooklyn,40.72919,-73.95588000000001,Entire loft,Entire home/apt,4,1.0,1,229,4.98,0.38
0,2,Kingsbridge,Bronx,40.87069,-73.90113000000001,Entire rental unit,Entire home/apt,2,1.0,1,90,4.64,0.47
0,1,Upper West Side,Manhattan,40.77743,-73.97691,Entire rental unit,Entire home/apt,2,1.0,1,110,4.51,0.47
0,2,Williamsburg,Brooklyn,40.71976,-73.96011999999999,Entire rental unit,Entire home/apt,2,1.0,1,129,4.64,1.18
0,2,East Harlem,Manhattan,40.80834,-73.94075,Entire rental unit,Entire home/apt,3,1.0,1,80,4.12,0.44
0,1,Astoria,Queens,40.77507,-73.93366999999999,Entire rental unit,Entire home/apt,3,1.0,1,119,4.66,2.53
0,0,Harlem,Manhattan,40.80874,-73.94926,Entire rental unit,Entire home/apt,5,1.0,2,149,4.67,0.47
0,1,Greenpoint,Brooklyn,40.72364,-73.95013,Entire rental unit,Entire home/apt,3,1.0,1,75,4.67,0.02
1,1,Lower East Side,Manhattan,40.71911,-73.98588000000001,Entire rental unit,Entire home/apt,3,1.0,1,150,4.81,2.53
0,2,Park Slope,Brooklyn,40.67407,-73.98105,Entire townhouse,Entire home/apt,5,1.5,3,69,4.86,0.57
1,2,Brooklyn Heights,Brooklyn,40.69246,-73.99828000000001,Entire rental unit,Entire home/apt,4,1.0,2,200,4.8,1.57
0,1,East Village,Manhattan,40.72408,-73.98154,Entire rental unit,Entire home/apt,2,1.0,1,135,4.79,2.28
1,1,Bedford-Stuyvesant,Brooklyn,40.68433,-73.94469000000001,Entire townhouse,Entire home/apt,5,1.0,2,150,4.9,1.08
0,1,Bushwick,Brooklyn,40.68769,-73.91788000000001,Entire rental unit,Entire home/apt,3,1.0,1,75,4.43,2.2
0,1,Fort Greene,Brooklyn,40.68871,-73.97322,Entire rental unit,Entire home/apt,3,1.0,2,150,4.67,0.05
0,1,East Village,Manhattan,40.7245,-73.97946,Entire rental unit,Entire home/apt,2,1.0,1,229,4.9,0.34
1,1,Long Island City,Queens,40.74575,-73.94686,Entire rental unit,Entire home/apt,2,1.5,1,75,4.9,0.11
1,3,Crown Heights,Brooklyn,40.67823,-73.94719,Entire rental unit,Entire home/apt,4,1.0,2,80,4.45,1.95
1,2,Bedford-Stuyvesant,Brooklyn,40.68413,-73.93817,Entire loft,Entire home/apt,5,1.0,2,140,4.73,1.25
1,2,Crown Heights,Brooklyn,40.67654,-73.94629,Entire rental unit,Entire home/apt,4,1.0,1,101,4.88,2.4
1,1,Bedford-Stuyvesant,Brooklyn,40.69157,-73.93257,Entire rental unit,Entire home/apt,6,1.0,2,127,4.76,3.2
1,1,Crown Heights,Brooklyn,40.6736,-73.9551,Entire rental unit,Entire home/apt,2,1.5,1,130,4.86,1.13
0,1,Williamsburg,Brooklyn,40.71167,-73.94932,Entire rental unit,Entire home/apt,2,1.0,1,140,5.0,0.12
0,1,Bedford-Stuyvesant,Brooklyn,40.69304,-73.95416999999999,Entire loft,Entire home/apt,6,1.0,2,200,4.67,0.09
0,1,Chelsea,Manhattan,40.75077,-73.99656999999999,Entire rental unit,Entire home/apt,2,1.0,1,130,4.81,0.18
0,2,Lower East Side,Manhattan,40.72015,-73.99104,Entire rental unit,Entire home/apt,2,1.0,1,135,4.28,0.26
1,1,Gowanus,Brooklyn,40.66952,-73.99201,Entire rental unit,Entire home/apt,3,1.0,1,130,4.93,1.25
0,4,Chelsea,Manhattan,40.74056,-74.00143,Entire rental unit,Entire home/apt,2,1.0,1,222,4.84,0.28
0,1,Williamsburg,Brooklyn,40.71551,-73.96274,Entire rental unit,Entire home/apt,2,1.0,1,310,4.78,1.44
1,1,Bedford-Stuyvesant,Brooklyn,40.68647,-73.95862,Entire rental unit,Entire home/apt,4,1.0,2,145,4.88,1.03
0,3,Greenpoint,Brooklyn,40.72741,-73.95466,Entire residential home,Entire home/apt,3,1.0,1,175,4.73,2.52
0,1,Crown Heights,Brooklyn,40.67541,-73.96294,Entire rental unit,Entire home/apt,6,1.0,3,165,4.5,0.02
0,3,South Slope,Brooklyn,40.66562,-73.99002,Entire residential home,Entire home/apt,6,2.0,3,235,4.5,0.39
0,1,Astoria,Queens,40.76406,-73.92266,Entire rental unit,Entire home/apt,2,1.0,1,85,4.57,0.35
1,1,Bedford-Stuyvesant,Brooklyn,40.68462,-73.92895,Entire rental unit,Entire home/apt,2,1.0,2,95,4.8,0.83
0,1,Williamsburg,Brooklyn,40.71983,-73.95992,Entire rental unit,Entire home/apt,6,1.0,2,250,4.45,1.81
0,2,Park Slope,Brooklyn,40.6755,-73.98137,Entire rental unit,Entire home/apt,4,2.0,2,165,4.96,0.26
0,5,East Village,Manhattan,40.72761,-73.98951,Entire townhouse,Entire home/apt,9,2.0,2,349,4.29,3.78
0,6,Forest Hills,Queens,40.7106,-73.85246,Entire rental unit,Entire home/apt,3,1.0,1,120,4.72,1.36
0,1,Williamsburg,Brooklyn,40.71771,-73.95849,Entire rental unit,Entire home/apt,2,1.0,1,250,4.58,0.32
1,2,Fort Greene,Brooklyn,40.68646,-73.97548,Entire rental unit,Entire home/apt,3,1.0,1,170,4.8,1.19
1,1,Park Slope,Brooklyn,40.67494,-73.97792,Entire residential home,Entire home/apt,5,2.5,3,275,4.93,0.81
